refYear,reporter,partner,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,dataset_type,source_side
2020,India,China,China,Import,52,Cotton,65938849.485,hs2,India_reporter
2020,India,China,China,Import,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,51120160.415,hs2,India_reporter
2020,India,China,China,Import,54,Man-made filaments; strip and the like of man-made textile materials,446319529.622,hs2,India_reporter
2020,India,China,China,Import,55,Man-made staple fibres,314766475.135,hs2,India_reporter
2020,India,China,China,Import,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",97429666.603,hs2,India_reporter
2020,India,China,China,Import,57,Carpets and other textile floor coverings,18411004.171,hs2,India_reporter
2020,India,China,China,Import,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",60900344.484,hs2,India_reporter
2020,India,China,China,Import,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",292161587.612,hs2,India_reporter
2020,India,China,China,Import,61,Apparel and clothing accessories; knitted or crocheted,135791316.942,hs2,India_reporter
2020,India,China,China,Import,62,Apparel and clothing accessories; not knitted or crocheted,167710026.774,hs2,India_reporter
2020,India,China,China,Import,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",222240024.154,hs2,India_reporter
2020,India,China,China,Import,64,Footwear; gaiters and the like; parts of such articles,191654191.288,hs2,India_reporter
2020,India,China,China,Import,65,Headgear and parts thereof,17174994.613,hs2,India_reporter
2020,India,China,China,Import,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",21716866.756,hs2,India_reporter
2020,India,China,China,Import,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",344357458.66,hs2,India_reporter
2020,India,China,China,Import,69,Ceramic products,269596931.891,hs2,India_reporter
2020,India,China,China,Import,70,Glass and glassware,443860389.267,hs2,India_reporter
2020,India,China,China,Import,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",103595499.084,hs2,India_reporter
2020,India,China,China,Import,72,Iron and steel,835081957.609,hs2,India_reporter
2020,India,China,China,Import,73,Iron or steel articles,1234497207.116,hs2,India_reporter
2020,India,China,China,Import,74,Copper and articles thereof,137135156.223,hs2,India_reporter
2020,India,China,China,Import,79,Zinc and articles thereof,5404058.992,hs2,India_reporter
2020,India,China,China,Import,81,"Metals; n.e.c., cermets and articles thereof",166647202.53,hs2,India_reporter
2020,India,China,China,Import,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",325981085.587,hs2,India_reporter
2020,India,China,China,Import,83,Metal; miscellaneous products of base metal,291193483.23,hs2,India_reporter
2020,India,China,China,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",12371502343.92,hs2,India_reporter
2020,India,China,China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",17842378313.626,hs2,India_reporter
2020,India,China,China,Import,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",197255372.795,hs2,India_reporter
2020,India,China,China,Import,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1202998894.012,hs2,India_reporter
2020,India,China,China,Import,88,"Aircraft, spacecraft and parts thereof",4100434.67,hs2,India_reporter
