refYear,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd
2021,China,Export,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",226676.784
2021,China,Export,60,Fabrics; knitted or crocheted,202005.397
2021,China,Export,37,Photographic or cinematographic goods,186502.291
2021,China,Export,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",146392.195
2021,China,Export,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",124083.887
2021,China,Export,43,Furskins and artificial fur; manufactures thereof,108462.943
2021,China,Export,45,Cork and articles of cork,59794.992
2021,China,Export,97,Works of art; collectors' pieces and antiques,37034.47
2021,China,Export,80,Tin; articles thereof,19935.641
2021,China,Export,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",15624.609
2022,China,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1984967630.794
2022,China,Export,29,Organic chemicals,1630388431.949
2022,China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1267375317.363
2022,China,Export,26,"Ores, slag and ash",1070992268.292
2022,China,Export,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",993682477.973
2022,China,Export,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",986809458.876
2022,China,Export,10,Cereals,670318145.767
2022,China,Export,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",655204248.81
2022,China,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",633774439.889
2022,China,Export,74,Copper and articles thereof,541417384.662
2022,China,Export,9,"Coffee, tea, mate and spices",465257508.283
2022,China,Export,72,Iron and steel,442846513.417
2022,China,Export,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",381108154.746
2022,China,Export,76,Aluminium and articles thereof,368955212.853
2022,China,Export,39,Plastics and articles thereof,275623677.293
2022,China,Export,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",270193326.985
2022,China,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",206364521.854
2022,China,Export,38,Chemical products n.e.c.,205562409.333
2022,China,Export,52,Cotton,161778226.942
2022,China,Export,17,Sugars and sugar confectionery,147254660.912
2022,China,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",142943572.295
2022,China,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",136790047.097
2022,China,Export,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",126563366.868
2022,China,Export,7,Vegetables and certain roots and tubers; edible,120107476.556
2022,China,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",116773689.486
2022,China,Export,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,95149237.562
2022,China,Export,73,Iron or steel articles,86646551.188
2022,China,Export,64,Footwear; gaiters and the like; parts of such articles,86300987.836
2022,China,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",83845764.695
2022,China,Export,40,Rubber and articles thereof,71764528.84
