partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,partner_flow_total_usd,sample_share
China,Export,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",288333.461,88274113911.99,3.2663421723776323e-06
China,Export,45,Cork and articles of cork,274535.57,88274113911.99,3.1100348429859534e-06
China,Export,97,Works of art; collectors' pieces and antiques,180075.587,88274113911.99,2.039959156990653e-06
China,Export,2,Meat and edible meat offal,80070.04,88274113911.99,9.07061384720672e-07
China,Export,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6139.877,88274113911.99,6.955467155548576e-08
China,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",166686391901.91498,497514038904.799,0.33503856950217836
China,Import,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",73414111308.59601,497514038904.799,0.1475618888468071
China,Import,29,Organic chemicals,58013070208.109,497514038904.799,0.11660589585736293
China,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",31167834427.584,497514038904.799,0.06264714558848473
China,Import,39,Plastics and articles thereof,24003502247.222,497514038904.799,0.04824688424885866
China,Import,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",11749424739.289001,497514038904.799,0.02361626772413008
China,Import,31,Fertilizers,10159493574.67,497514038904.799,0.020420516367808575
China,Import,72,Iron and steel,9603123488.513,497514038904.799,0.019302216093545432
China,Import,73,Iron or steel articles,8980387457.139,497514038904.799,0.018050520698688118
China,Import,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8686662253.554,497514038904.799,0.01746013493946092
China,Import,38,Chemical products n.e.c.,7837148739.226,497514038904.799,0.01575261827078947
China,Import,76,Aluminium and articles thereof,6260060713.982,497514038904.799,0.01258268154153512
China,Import,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",5215379851.498,497514038904.799,0.010482879765521513
China,Import,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",5178267344.959001,497514038904.799,0.010408283867442542
China,Import,54,Man-made filaments; strip and the like of man-made textile materials,4904313114.32,497514038904.799,0.009857637635947106
China,Import,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",4459615407.661,497514038904.799,0.00896379812211563
China,Import,70,Glass and glassware,4218278958.5179996,497514038904.799,0.00847871342043713
