partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change,exposure_score
China,Import,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4.040313679836583e-05,3.3981739271228285e-05,-6.421397527137542e-06,2.7560341744090743e-05
China,Import,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5.417785164091492e-08,1.3639224955849681e-05,1.3585047104208766e-05,2.7224272060058447e-05
China,Import,43,Furskins and artificial fur; manufactures thereof,1.6088814006059754e-05,1.6291106113229766e-05,2.0229210717001138e-07,1.6493398220399777e-05
China,Import,45,Cork and articles of cork,6.7131887783417855e-06,1.1478906280997501e-05,4.7657175026557154e-06,1.6244623783653216e-05
China,Import,79,Zinc and articles thereof,9.190760226423336e-05,5.292177292106093e-05,-3.8985829343172425e-05,1.3935943577888507e-05
China,Import,18,Cocoa and cocoa preparations,1.1872611499246666e-05,1.19620775952792e-05,8.946609603253326e-08,1.2051543691311733e-05
China,Import,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",9.573173649201682e-06,9.253792214618727e-06,-3.193814345829544e-07,8.934410780035773e-06
China,Import,93,Arms and ammunition; parts and accessories thereof,9.24055596326151e-07,2.5036450376817e-06,1.579589441355549e-06,4.083234479037249e-06
China,Import,97,Works of art; collectors' pieces and antiques,8.158812146958781e-05,4.20686113988614e-05,-3.951951007072641e-05,2.5491013281349887e-06
China,Import,1,Animals; live,6.744287359139122e-07,1.439363654703889e-06,7.649349187899768e-07,2.204298573493866e-06
China,Import,10,Cereals,6.357072816584121e-07,4.534385460642281e-07,-1.82268735594184e-07,2.711698104700441e-07
China,Import,5,Animal originated products; not elsewhere specified or included,8.076193441113856e-05,3.725140886070629e-05,-4.351052555043227e-05,-6.259116689725979e-06
China,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3.3220613842824285e-05,5.6922326243317626e-06,-2.7528381218492522e-05,-2.1836148594160758e-05
China,Import,78,Lead and articles thereof,6.322499970763242e-05,6.165969399546947e-06,-5.705903030808547e-05,-5.089306090853852e-05
China,Import,30,Pharmaceutical products,0.003143954561355889,0.0015455930084523842,-0.0015983615529035046,-5.2768544451120385e-05
China,Import,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0.0011473973111339449,0.000513626672942235,-0.0006337706381917098,-0.00012014396524947482
China,Import,64,Footwear; gaiters and the like; parts of such articles,0.003259490174190682,0.0015682119913537362,-0.001691278182836946,-0.00012306619148320973
China,Import,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0.000415308747551104,0.0001449735317983342,-0.00027033521575276984,-0.00012536168395443564
China,Import,7,Vegetables and certain roots and tubers; edible,0.0008293522379919012,0.0002646600258016048,-0.0005646922121902965,-0.0003000321863886917
China,Import,62,Apparel and clothing accessories; not knitted or crocheted,0.0028522683522305857,0.0011922761223960338,-0.0016599922298345519,-0.0004677161074385181
China,Import,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",0.0037796677973680136,0.00147213729135583,-0.002307530506012184,-0.0008353932146563539
China,Import,55,Man-made staple fibres,0.005353278349782729,0.0019624059927984684,-0.003390872356984261,-0.0014284663641857924
China,Import,99,Commodities not specified according to kind,0.0061293408931213265,0.0006327835040687151,-0.005496557389052611,-0.004863773884983896
China,Import,31,Fertilizers,0.028460271863209416,0.006727274198149355,-0.02173299766506006,-0.015005723466910705
China,Import,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",,0.00013102503310394247,,
China,Import,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",,3.5682248371586423e-06,,
China,Import,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",,1.174601720542098e-06,,
China,Import,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",,0.21264147227583768,,
China,Import,88,"Aircraft, spacecraft, and parts thereof",,0.00012378828713918518,,
European Union,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.09306206936047057,0.09740275125640252,0.004340681895931953,0.10174343315233447
