partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change
China,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",3.3220613842824285e-05,5.6922326243317626e-06,-2.7528381218492522e-05
China,Import,79,Zinc and articles thereof,9.190760226423336e-05,5.292177292106093e-05,-3.8985829343172425e-05
China,Import,97,Works of art; collectors' pieces and antiques,8.158812146958781e-05,4.20686113988614e-05,-3.951951007072641e-05
China,Import,5,Animal originated products; not elsewhere specified or included,8.076193441113856e-05,3.725140886070629e-05,-4.351052555043227e-05
China,Import,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",0.00017786285517584308,0.00013167400711562108,-4.6188848060221995e-05
China,Import,81,"Metals; n.e.c., cermets and articles thereof",0.0028341927486816715,0.002787895786976676,-4.629696170499551e-05
China,Import,13,"Lac; gums, resins and other vegetable saps and extracts",0.00045090601723302246,0.000401087790743494,-4.981822648952844e-05
China,Import,78,Lead and articles thereof,6.322499970763242e-05,6.165969399546947e-06,-5.705903030808547e-05
China,Import,9,"Coffee, tea, mate and spices",0.00022461262422495903,0.00015922487621795192,-6.538774800700711e-05
China,Import,37,Photographic or cinematographic goods,0.000568681445399566,0.00047715063234312976,-9.153081305643624e-05
China,Import,65,Headgear and parts thereof,0.00029209758370860414,0.0001989409479016375,-9.315663580696665e-05
China,Import,40,Rubber and articles thereof,0.003336396678969578,0.003229562770097748,-0.00010683390887182998
China,Import,41,Raw hides and skins (other than furskins) and leather,0.00040607138309721414,0.0002814992742380595,-0.00012457210885915464
China,Import,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.0023083471408833576,0.002177564611780556,-0.0001307825291028018
China,Import,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.00036150562108745423,0.00020919228470706286,-0.00015231333638039137
China,Import,92,Musical instruments; parts and accessories of such articles,0.0004404062099087518,0.00028671521664443643,-0.00015369099326431536
China,Import,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",0.0033547502671906317,0.0031929618400435324,-0.00016178842714709932
China,Import,54,Man-made filaments; strip and the like of man-made textile materials,0.007590619915878685,0.007362820007703539,-0.00022779990817514608
China,Import,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0.000415308747551104,0.0001449735317983342,-0.00027033521575276984
China,Import,23,"Food industries, residues and wastes thereof; prepared animal fodder",0.0010258292756793175,0.0007053373879405034,-0.0003204918877388141
China,Import,44,Wood and articles of wood; wood charcoal,0.0016620319958632465,0.0013146952609324788,-0.0003473367349307677
China,Import,52,Cotton,0.0011214314205673884,0.0007665678029338568,-0.00035486361763353163
China,Import,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",0.0016570002400309446,0.0012871973957215507,-0.0003698028443093939
China,Import,50,Silk,0.0009633547538297468,0.0005346317746002528,-0.000428722979229494
China,Import,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",0.0018488602610774293,0.0012894255072480817,-0.0005594347538293476
China,Import,7,Vegetables and certain roots and tubers; edible,0.0008293522379919012,0.0002646600258016048,-0.0005646922121902965
China,Import,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0.0011473973111339449,0.000513626672942235,-0.0006337706381917098
China,Import,69,Ceramic products,0.004585073483575258,0.003926671755348593,-0.000658401728226665
China,Import,61,Apparel and clothing accessories; knitted or crocheted,0.0023094223003333548,0.0015988503708663662,-0.0007105719294669885
China,Import,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.010545054063174387,0.009736374163237893,-0.0008086798999364948
China,Import,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",0.005544006829708015,0.004729138331295471,-0.0008148684984125437
China,Import,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",0.004968833802680788,0.0035609450696604556,-0.0014078887330203323
China,Import,96,Miscellaneous manufactured articles,0.004997080396947412,0.0034668295013336654,-0.0015302508956137463
China,Import,30,Pharmaceutical products,0.003143954561355889,0.0015455930084523842,-0.0015983615529035046
China,Import,62,Apparel and clothing accessories; not knitted or crocheted,0.0028522683522305857,0.0011922761223960338,-0.0016599922298345519
China,Import,64,Footwear; gaiters and the like; parts of such articles,0.003259490174190682,0.0015682119913537362,-0.001691278182836946
China,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.004911666993114846,0.0031633800846495343,-0.0017482869084653116
China,Import,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",0.005856536428284324,0.00406794052656951,-0.0017885959017148135
China,Import,95,"Toys, games and sports requisites; parts and accessories thereof",0.0050135282358679326,0.0027820627557645305,-0.002231465480103402
China,Import,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",0.0037796677973680136,0.00147213729135583,-0.002307530506012184
China,Import,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",0.00973080211192938,0.006723282865296748,-0.003007519246632631
China,Import,55,Man-made staple fibres,0.005353278349782729,0.0019624059927984684,-0.003390872356984261
China,Import,73,Iron or steel articles,0.020995270124898043,0.017248393692832497,-0.003746876432065546
China,Import,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.02045957382013115,0.016318291528718238,-0.004141282291412911
China,Import,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.026831607435061754,0.022474493393845225,-0.004357114041216529
China,Import,99,Commodities not specified according to kind,0.0061293408931213265,0.0006327835040687151,-0.005496557389052611
China,Import,38,Chemical products n.e.c.,0.02110551781434816,0.012497048428976134,-0.008608469385372025
China,Import,31,Fertilizers,0.028460271863209416,0.006727274198149355,-0.02173299766506006
China,Import,29,Organic chemicals,0.13942790155221094,0.08762226838356554,-0.05180563316864539
China,Import,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,0.00017511801675624669,,
